name,address,telephone,url,latitude,longitude,starRating
Hotel Chinzanso Tokyo,"Bunkyo-ku, Sekiguchi 2-10-8, 112-8680, Tokyo",+81339430996,https://www.travelmyth.com/Tokyo/Hotels/Hotel-Chinzanso-Tokyo_tmid231580,35.71151100,139.72596400,5
"Mandarin Oriental, Tokyo","Chuo-ku Nihonbashi Muromachi 2-1-1, 103-8328, Tokyo",+81332708800,https://www.travelmyth.com/Tokyo/Hotels/Mandarin-Oriental-Tokyo_tmid23156,35.68678600,139.77341200,5
The Capitol Hotel Tokyu,"Chiyoda-ku Nagatacho 2-10-3 , 100-0014, Tokyo",+81335030109,https://www.travelmyth.com/Tokyo/Hotels/The-Capitol-Hotel-Tokyu_tmid254942,35.67415800,139.74114200,5
Shangri-La Tokyo,"Chiyoda-ku, Marunouchi Trust Tower Main, 1-8-3 Marunouchi, 100-8283, Tokyo",+81367397888,https://www.travelmyth.com/Tokyo/Hotels/Shangri-La-Tokyo_tmid244785,35.68256400,139.76926800,5
The Peninsula Tokyo,"Chiyoda-ku Yurakucho 1-8-1, 100-0006, Tokyo",+81362702888,https://www.travelmyth.com/Tokyo/Hotels/The-Peninsula-Tokyo_tmid102055,35.67478600,139.76037400,5
"Cerulean Tower Tokyu Hotel, A Pan Pacific Partner Hotel","Shibuya-ku, Sakuragaokacho 26-1, 150-8512, Tokyo",+81334763000,https://www.travelmyth.com/Tokyo/Hotels/Cerulean-Tower-Tokyu-Hotel-A-Pan-Pacific-Partner-Hotel_tmid210333,35.65640600,139.69921700,5
Park Hyatt Tokyo,"Shinjuku-ku, Nishishinjuku 3-7-1-2, 163-1055, Tokyo",+81353221234,https://www.travelmyth.com/Tokyo/Hotels/Park-Hyatt-Tokyo_tmid127405,35.68487100,139.69104700,5
Andaz Tokyo - A Concept by Hyatt,"Minato-ku, Toranomon 1-23-4  , 105-0001, Tokyo",+81368301000,https://www.travelmyth.com/Tokyo/Hotels/Andaz-Tokyo-A-Concept-by-Hyatt_tmid490345,35.66637500,139.74968900,5
The Tokyo Station Hotel,"Chiyoda-ku Marunouchi 1-9-1, 100-0005, Tokyo",+81352201112,https://www.travelmyth.com/Tokyo/Hotels/The-Tokyo-Station-Hotel_tmid24736,35.68145300,139.76598000,5
"The Ritz-Carlton, Tokyo","Minato-ku, Akasaka 9-7-1 Tokyo Midtown, 107-6245",+81334238000,https://www.travelmyth.com/Tokyo/Hotels/The-Ritz-Carlton-Tokyo_tmid133036,35.66605700,139.73117000,5
"The Strings by InterContinental, Tokyo, an IHG Hotel","Minato-ku, Konan 2-16-1 Shinagawa East One Tower 26-32 Floor, 108-8282, Tokyo",+81357831111,https://www.travelmyth.com/Tokyo/Hotels/The-Strings-by-InterContinental-Tokyo-an-IHG-Hotel_tmid193624,35.62773000,139.74039700,5
Grand Hyatt Tokyo,"Minato-ku Roppongi 6-10-3 , 106-0032, Tokyo",+81343331234,https://www.travelmyth.com/Tokyo/Hotels/Grand-Hyatt-Tokyo_tmid351400,35.65983100,139.72821200,5
Four Seasons Hotel Tokyo at Marunouchi,"Chiyoda-ku Pacific Century Place Marunouchi 1-11-1 Marunouchi , 100-6277, Tokyo",+81352227222,https://www.travelmyth.com/Tokyo/Hotels/Four-Seasons-Hotel-Tokyo-at-Marunouchi_tmid270897,35.67793400,139.76717600,5
Grand Nikko Tokyo Daiba,"Minato-ku Daiba 2-6-1 , 135-8701, Tokyo",+81355006711,https://www.travelmyth.com/Tokyo/Hotels/Grand-Nikko-Tokyo-Daiba_tmid239924,35.62522200,139.77152500,5
Four Seasons Hotel Tokyo at Otemachi,"Chiyoda-ku Otemachi 1-2-1, 100-0004, Tokyo",+810368100600,https://www.travelmyth.com/Tokyo/Hotels/Four-Seasons-Hotel-Tokyo-at-Otemachi_tmid3209400,35.68763700,139.76233300,5
Conrad Tokyo,"Minato-ku, Higashi-Shinbashi 1-9-1, 105-7337, Tokyo",+81363888000,https://www.travelmyth.com/Tokyo/Hotels/Conrad-Tokyo_tmid114177,35.66329800,139.76191300,5
Imperial Hotel Tokyo,"Chiyoda-ku Uchisaiwai-cho 1-1-1, 100-8558, Tokyo",+81335041111,https://www.travelmyth.com/Tokyo/Hotels/Imperial-Hotel-Tokyo_tmid319412,35.67212800,139.75891200,5
The Prince Park Tower Tokyo,"Minato-ku, Shiba Koen 4-8-1 , 105-8563, Tokyo",+81354001111,https://www.travelmyth.com/Tokyo/Hotels/The-Prince-Park-Tower-Tokyo_tmid80392,35.65518900,139.74701100,5
Park Hotel Tokyo,"Minato-ku Higashi Shimbashi 1-7-1, 105-7227, Tokyo",+81362521111,https://www.travelmyth.com/Tokyo/Hotels/Park-Hotel-Tokyo_tmid105384,35.66335900,139.75961700,4
Palace Hotel Tokyo,"Chiyoda-ku Marunouchi 1-1-1, 100-0005, Tokyo",+81332115211,https://www.travelmyth.com/Tokyo/Hotels/Palace-Hotel-Tokyo_tmid343968,35.68456800,139.76146200,5
Hilton Tokyo Hotel,"Shinjuku-ku, Nishishinjuku 6-6-2, 160-0023, Tokyo",+81333445111,https://www.travelmyth.com/Tokyo/Hotels/Hilton-Tokyo-Hotel_tmid23336,35.69230900,139.69117100,5
"The Prince Gallery Tokyo Kioicho, a Luxury Collection Hotel","Chiyoda-ku, Kioicho 1-2, 102-8585, Tokyo",+81332341111,https://www.travelmyth.com/Tokyo/Hotels/The-Prince-Gallery-Tokyo-Kioicho-a-Luxury-Collection-Hotel_tmid1285590,35.67942600,139.73633300,5
"ANA InterContinental Tokyo, an IHG Hotel","Minato-ku, Akasaka 1-12-33 , 107-0052, Tokyo",+81335051111,https://www.travelmyth.com/Tokyo/Hotels/ANA-InterContinental-Tokyo-an-IHG-Hotel_tmid241848,35.66818400,139.74091700,5
The Royal Park Hotel Iconic Tokyo Shiodome,"Minato-ku, Higashishimbashi 1-6-3, 105-8333, Tokyo",+81362531111,https://www.travelmyth.com/Tokyo/Hotels/The-Royal-Park-Hotel-Iconic-Tokyo-Shiodome_tmid110100,35.66387500,139.76041700,4
Tokyo Dome Hotel,"Bunkyo-ku, Koraku 1-3-61, 112-8562, Tokyo",+81358052111,https://www.travelmyth.com/Tokyo/Hotels/Tokyo-Dome-Hotel_tmid391562,35.70334200,139.75322500,4
The Gate Hotel Asakusa Kaminarimon by Hulic,"Taito-ku, Kaminarimon 2-16-11, 111-0034, Tokyo",+81358263877,https://www.travelmyth.com/Tokyo/Hotels/The-Gate-Hotel-Asakusa-Kaminarimon-by-Hulic_tmid362684,35.71093700,139.79534700,4
Tobu Hotel Levant Tokyo,"Sumida-ku Kinshi 1-2-2, 130-0013, Tokyo",+81356115511,https://www.travelmyth.com/Tokyo/Hotels/Tobu-Hotel-Levant-Tokyo_tmid356074,35.69679000,139.81086600,4
The Okura Tokyo,"Minato-ku Toranomon 2-10-4, 105-0001, Tokyo",+81335820111,https://www.travelmyth.com/Tokyo/Hotels/The-Okura-Tokyo_tmid2764857,35.66716000,139.74413900,5
Dai-ichi Hotel Tokyo,"Minato-ku Shinbashi 1-2-6, 105-8621, Tokyo",+81335014411,https://www.travelmyth.com/Tokyo/Hotels/Dai-ichi-Hotel-Tokyo_tmid209930,35.66880700,139.75747200,4
Keio Plaza Hotel Tokyo,"Shinjuku-ku, Nishishinjuku 2-2-1, 160-8330, Tokyo",+81353228000,https://www.travelmyth.com/Tokyo/Hotels/Keio-Plaza-Hotel-Tokyo_tmid193046,35.68987500,139.69395200,5
Hotel East 21 Tokyo,"Koto-ku Toyo  6-3-3 , 135-0016, Tokyo",+81356835683,https://www.travelmyth.com/Tokyo/Hotels/Hotel-East-21-Tokyo_tmid145861,35.67464600,139.81492500,4
"The Prince Sakura Tower Tokyo, Autograph Collection","Minato-ku, Takanawa 3-13-1, 108-8612, Tokyo",+81357981111,https://www.travelmyth.com/Tokyo/Hotels/The-Prince-Sakura-Tower-Tokyo-Autograph-Collection_tmid15885,35.63091100,139.73526300,5
Hotel Metropolitan Tokyo Marunouchi,"Chiyoda-ku Marunouchi  1-7-12 , 100-0005, Tokyo",+81332112233,https://www.travelmyth.com/Tokyo/Hotels/Hotel-Metropolitan-Tokyo-Marunouchi_tmid57644,35.68386900,139.76850100,4
The Westin Tokyo,"Meguro-ku, Mita 1-4-1, 153-8580, Tokyo",+81354237000,https://www.travelmyth.com/Tokyo/Hotels/The-Westin-Tokyo_tmid227910,35.64180000,139.71517300,5
Sheraton Miyako Hotel Tokyo,"Minato-ku Shirokanedai 1-1-50, 108-8640, Tokyo",+81334473111,https://www.travelmyth.com/Tokyo/Hotels/Sheraton-Miyako-Hotel-Tokyo_tmid64225,35.63963300,139.73006000,5
Royal Park Hotel,"Chuo-ku Nihonbashi Kakigara-cho 2-1-1, 103-8520, Tokyo",+81336671111,https://www.travelmyth.com/Tokyo/Hotels/Royal-Park-Hotel_tmid57536,35.68227900,139.78645800,4
Odakyu Hotel Century Southern Tower,"Shibuya-ku, Yoyogi 2-2-1, 151-8583, Tokyo",+81353540111,https://www.travelmyth.com/Tokyo/Hotels/Odakyu-Hotel-Century-Southern-Tower_tmid596835,35.68667000,139.70052800,4
"InterContinental Tokyo Bay, an IHG Hotel","Minato-ku Kaigan 1-16-2, 105-8576, Tokyo",+81354042222,https://www.travelmyth.com/Tokyo/Hotels/InterContinental-Tokyo-Bay-an-IHG-Hotel_tmid314070,35.65304400,139.76199300,5
Hotel New Otani Tokyo The Main,"Chiyoda-ku, Kioi-Cho 4-1, 102-8578, Tokyo",+81332651111,https://www.travelmyth.com/Tokyo/Hotels/Hotel-New-Otani-Tokyo-The-Main_tmid249884,35.68089500,139.73357300,5
Sheraton Grande Tokyo Bay Hotel,"Maihama 1-9, 279-0031, Tokyo",+81473555555,https://www.travelmyth.com/Tokyo/Hotels/Sheraton-Grande-Tokyo-Bay-Hotel_tmid203341,35.62726800,139.87726400,5
Ascott Marunouchi Tokyo,"1-1-1, Otemachi Park Building 22F - 29F, 100-0004, Tokyo",+81352082001,https://www.travelmyth.com/Tokyo/Hotels/Ascott-Marunouchi-Tokyo_tmid1898819,35.68690900,139.76283100,5
Asakusa View Hotel,"Taito-ku Nishiasakusa 3-17-1, 111-8765, Tokyo",+81338471111,https://www.travelmyth.com/Tokyo/Hotels/Asakusa-View-Hotel_tmid211177,35.71531100,139.79225200,4
karaksa hotel premier Tokyo Ginza,"Minato-ku, Shinbashi 1-6-6, 105-0004, Tokyo",+81335736602,https://www.travelmyth.com/Tokyo/Hotels/karaksa-hotel-premier-Tokyo-Ginza_tmid2528607,35.66707700,139.76156800,4
Hotel Mystays Premier Akasaka,"Minato-ku, Akasaka 2-17-54, 107-0052, Tokyo",+81362293280,https://www.travelmyth.com/Tokyo/Hotels/Hotel-Mystays-Premier-Akasaka_tmid1299675,35.67024600,139.73837500,4
Grand Prince Hotel Shin Takanawa,"Minato-ku, Takanawa 3-13-1, 108-8612, Tokyo",+81334421111,https://www.travelmyth.com/Tokyo/Hotels/Grand-Prince-Hotel-Shin-Takanawa_tmid110729,35.62955200,139.73289900,4
Shibuya Excel Hotel Tokyu,"Shibuya-ku, Dogenzaka 1-12-2, 150-0043, Tokyo",+81354570109,https://www.travelmyth.com/Tokyo/Hotels/Shibuya-Excel-Hotel-Tokyu_tmid18259,35.65874500,139.69970400,4
